accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
94.1.2.B,1994-01-01,illuminated manuscript border,,gold leaf and colors on parchment,on vellum,WCMA-DEC ARTS,0.0
95.4.51,1995-03-03,Photograph of Charles Prendergast,,photograph,,WCMA-Prendergast,1905.5
A.1.4,1994-04-08,"Photograph of ""Spirit of the Hunt"" by Charles and Maurice Prendergast",,photograph,,WCMA-Prendergast,1918.0
94.1.2.A,1994-01-01,illuminated manuscript border,,gold leaf and colors on parchment,on vellum,WCMA-DEC ARTS,0.0
RC.37.2,1995-05-01,"Reproduction Barcelona Chair with cushions from Robert Brady, Mexico",,metal and leather,,WCMA-Prendergast,1925.0
95.4.48,1995-03-03,Plate,,brass,,WCMA-DEC ARTS,0.0
95.4.50,1995-03-03,Photograph of  Maurice Prendergast,,photograph,,WCMA-Prendergast,1905.5
95.4.49,1995-03-03,Photograph of Charles Prendergast,,photograph,,WCMA-Prendergast,1905.5
RC.37.3,1995-05-01,"Reproduction Barcelona Chair with cushions from Robert Brady, Mexico",,metal and leather,,WCMA-Prendergast,1925.0
A.5,1999-06-15,Facsimile of portrait of Thomas Alexander Tefft (96.19),,modern RC print,exhibition copy of original daguerreotype (see 96.19),EXH-Furniture,1949.5
93.1.190,1993-01-01,Intaglio ring,,bronze | lapis lazuli,"stone a bright, deep blue",WCMA-ANCIENT,0.0
93.1.200,1993-01-01,shell fossil,,stone,,WCMA-ANCIENT,0.0
RC.37.1,1995-05-01,"Reproduction Barcelona Chair with cushions from Robert Brady, Mexico",,metal and leather,,WCMA-Prendergast,1925.0
A.11,,Exhibition support material (St. Lucy restoration information: 2 photographs framed together),,photograph,,EXH-Furniture,0.0
RC.61,2003-10-28,Untitled,,"collage, ink on paper",,WCMA Reserve Collection,1987.0
RC.37.4,1995-05-01,"Glass topped Reproduction Barcelona Coffee Table from Robert Brady, Mexico",,metal and glass,,WCMA-Prendergast,1925.0
78.5.4,1978-01-01,"Madura Palace, S.E. angle of the quadrangle",,albumen print,"Madurai, Tamil Nadu",WCMA-PHOTO,1868.0
A.1.81,,Maurice Prendergast working in studio,,photograph,,WCMA-Prendergast,1901.0
A.1.82,,"Charles Prendergast, ca. 1946",,black and white photograph,,WCMA-Prendergast,1946.0
A.1.83,,"Charles Prendergast holding completed ""Hill Town""",,black and white photograph,,WCMA-Prendergast,1928.0
A.1.84,,"Eugénie and Charles Prendergast at their house on Crooked Mile Road, Westport, CT",,black and white photograph,,WCMA-Prendergast,1939.0
A.1.85,,Charles Prendergast  seated in his studio,,photograph,,WCMA-Prendergast,1901.0
A.1.86,,"Maurice Prendergast, Sr. and Charles Prendergast standing in front of fence",,photograph,,WCMA-Prendergast,1899.0
A.1.88,,Eugénie Van Kemmel  ( Prendergast),,photograph,black and white,WCMA-Prendergast,1914.5
A.1.90,,"Maurice Prendergast, ca. 1917",,photograph,,WCMA-Prendergast,1917.0
equipment weems,2011-07-28,Equipment for Slow Fade to Balck by Carrie Mae Weems,,,equipment lent to exhibition,EXH-Furniture,0.0
A.1.194,2012-01-03,Binding of 18th century book of anatomical prints (pages removed),,book binding,pages removed,WCMA-Prendergast,1750.0
A.1.193.a,2012-01-03,vellum sheet from an  manuscript,,vellum,,WCMA-Prendergast,1875.0
A.1.193.b,2012-01-03,vellum sheet from an  manuscript,,vellum,,WCMA-Prendergast,1875.0
A.1.249,2012-01-03,Postcard of Hotel de la Cote d'Or,,paper,Written on back in  hand is an agenda for July 21-23.,WCMA-Prendergast,1900.0
A.1.250,2012-01-03,Postcard of Ristorante Ponte Vecchio,,paper,Writing on back in Eugénie Prendergast's hand.,WCMA-Prendergast,1900.0
A.1.265,2012-01-03,Field of Manoah,,paper,Grave opening receipt to Maurice Prendergast,WCMA-Prendergast,1883.0
A.1.282,2012-01-03,Administration bond for estate of Maurice Prendergast,,paper,3 sides,WCMA-Prendergast,1924.0
A.1.289,2013-07-01,Business card of Mrs. MacDonald Johnstone,,paper,,WCMA-Prendergast,1905.5
A.1.300,2013-07-01,List of books believed to have been owned by Maurice and Charles Prendergast,,paper,6 sides,WCMA-Prendergast,1990.0
A.1.399,2013-07-01,"Charles Prendergast & Maurice Prendergast, Sr. with dog",,photograph,same image as A.1.401,WCMA-Prendergast,1899.0
A.1.392,2013-07-01,Maurice Prendergast,,photograph,,WCMA-Prendergast,1899.0
A.1.393,2013-07-01,Charles Prendergast,,photograph,,WCMA-Prendergast,1899.0
A.1.391,2013-07-01,Lucy Catherine Prendergast (Maurice's twin sister),,photograph,"Sepia photograph of Lucy Catherine Prendergast, Maurice Prendergast's twin sister.",WCMA-Prendergast,1878.0
A.1.400,2013-07-01,Maurice Prendergast Sr.,,Photograph. Duplicate of A.1.396,"Photograph of Maurice Prendergast, Sr. in front of house with fence.",WCMA-Prendergast,1880.0
A.1.396,2013-07-01,Maurice Prendergast Sr.,,photograph,"Photograph of Maurice Prendergast, Sr. standing in front of a house with a fence.",WCMA-Prendergast,1899.0
A.1.397,2013-07-01,Maurice Prendergast Sr.,,photograph,"Photograph of Maurice Prendergast, Sr. standing in front of a fence.",WCMA-Prendergast,1901.0
A.1.410,2013-07-01,Maurice B Prendergast,,photograph,"Maurice Prendergast, seated, smoking a pipe",WCMA-Prendergast,1901.0
A.1.411,2013-07-01,Unknown man,,photograph,,WCMA-Prendergast,1901.0
A.1.412,2013-07-01,Unknown man and Maurice Prendergast,,photograph,Maurice B. Prendergast and  man seated at a table.,WCMA-Prendergast,1901.0
A.1.413,2013-07-01,Maurice B Prendergast,,photograph,,WCMA-Prendergast,1907.0
A.1.414,2013-07-01,Maurice B Prendergast,,photograph,Maurice Prendergast working in studio,WCMA-Prendergast,1911.0
A.1.415,2013-07-01,Maurice B Prendergast,,photograph,Duplicate of A.1.90,WCMA-Prendergast,1918.0
A.1.420,2013-07-01,Maurice B Prendergast (in canoe),,photograph,Maurice B. Prendergast paddling while standing in a canoe.,WCMA-Prendergast,1921.5
A.1.420.A,2013-07-01,Maurice B Prendergast,,photograph,Maurice B. Prendergast seated in front of outdoor fireplace/chimney,WCMA-Prendergast,1921.5
A.1.401,2013-07-01,"Maurice Prendergast, Sr. & Charles Prendergast with dog",,photograph,Duplicate image of A.1.399,WCMA-Prendergast,1885.0
A.1.394,2013-07-01,Charles Prendergast,,photograph,,WCMA-Prendergast,1890.5
A.1.395,2013-07-01,Charles Prendergast & Maurice Prendergast Sr.,,photograph,"Photograph of Maurice Prendergast, Sr. and Charles Prendergast and a dog.",WCMA-Prendergast,1899.0
A.1.402,2013-07-01,Maurice B Prendergast on deck chair on board ship (far right),,photograph,,WCMA-Prendergast,1899.0
A.1.403,2013-07-01,Maurice B Prendergast,,photograph,,WCMA-Prendergast,1901.0
A.1.404,2013-07-01,Charles Prendergast,,photograph,,WCMA-Prendergast,1901.0
A.1.405,2013-07-01,Charles Prendergast,,photograph,duplicate of A.1.404,WCMA-Prendergast,1901.0
A.1.406,2013-07-01,"Charles Prendergast, ca. 1895-1905",,photograph,Charles Prendergast at work on a frame.,WCMA-Prendergast,1900.0
A.1.407,2013-07-01,"Maurice Prendergast, Sr. & Charles Prendergast",,photograph,"Maurice Prendergast, Sr. (seated) and Charles Prendergast with dog.",WCMA-Prendergast,1901.0
A.1.408,2013-07-01,Charles Prendergast,,photograph,Charles Prendergast on skis with dogs.,WCMA-Prendergast,1905.5
A.1.409,2013-07-01,Charles Prendergast,,photograph,Charles Prendergast climbing a ladder.,WCMA-Prendergast,1902.0
A.1.416,2013-07-01,Charles Prendergast (Hand),,photograph,Charles Prendergast hand holding a tool.,WCMA-Prendergast,1918.0
A.1.417,2013-07-01,MDC Crawford & Charles Prendergast (in sailboat),,photograph,,WCMA-Prendergast,1905.5
A.1.418,2013-07-01,Charles Prendergast,,photograph,,WCMA-Prendergast,1905.5
A.1.419,2013-07-01,"Virginia Keep Clark, Charles Prendergast, Marshall Clark",,photograph,"Virginia Keep Clark, Charles Prendergast and Marshall Clark preparing for a picnic.",WCMA-Prendergast,1905.5
A.1.422,2013-07-01,Charles Prendergast,,photograph,faded black and white photograph,WCMA-Prendergast,1940.0
A.1.423,2013-07-01,Charles Prendergast,,photograph,black and white photograph.  Charles Prendergast lighting a cigar.,WCMA-Prendergast,1946.0
A.1.424,2013-07-01,Charles Prendergast,,photograph,black and white photograph of Charles Prendergast lighting a cigar.,WCMA-Prendergast,1946.0
A.1.425,2013-07-01,Charles Prendergast,,photograph,black and white photograph of Charles Prendergast examining a framed painting.,WCMA-Prendergast,1946.0
A.1.426,2013-07-01,Charles Prendergast,,photograph,black and white photograph of Charles Prendergast examining a framed painting.,WCMA-Prendergast,1946.0
A.1.427,2013-07-01,Eugénie Prendergast,,photograph,black and white photograph of Eugenie Prendergast standing on lawn,WCMA-Prendergast,1944.0
A.1.428,2013-07-01,"Eugénie Prendergast, Antoinette Maynard, Charles Prendergast",,photograph,"black and white photograph of Eugenie Prendergast, Antoinette Maynard and Charles Prendergast seated on bench at Crooked Mile Road.",WCMA-Prendergast,1944.0
A.1.429,2013-07-01,Unknown man & Charles Prendergast,,photograph,black and white photograph of  man and Charles Prendergast seated on a bench.,WCMA-Prendergast,1944.0
A.1.430,2013-07-01,"Paul Maynard, Charles Prendergast, Antoinette Maynard, Eugénie Prendergast",,photograph,"Photograph taken in Winter Park, FL the day before Antoinette and Paul Maynard married.",WCMA-Prendergast,1946.0
A.1.431,2013-07-01,Charles Prendergast,,photograph,black and white photograph of Charles Prendergast on lawn in front of house on Crooked Mile Road.,WCMA-Prendergast,1944.0
A.1.432,2013-07-01,Charles Prendergast & Unknown person,,photograph,black and white photograph,WCMA-Prendergast,1944.0
A.1.433,2013-07-01,Eugénie Prendergast & Antoinette Maynard,,photograph,black and white photograph of Eugenie Prendergast and Antoinette Maynard standing outside of house on Crooked Mile Road.,WCMA-Prendergast,1944.0
A.1.434,2013-07-01,House on Crooked Mile Road,,photograph,black and white photograph,WCMA-Prendergast,1944.0
A.1.435,2013-07-01,House on Crooked Mile Road,,photograph,black and white photograph,WCMA-Prendergast,1944.0
A.1.436,2013-07-01,House on Crooked Mile Road,,photograph,black and white photograph,WCMA-Prendergast,1905.5
A.1.437,2013-07-01,"Charles Prendergast, Unknown, Eugénie Prendergast",,photograph,black and white photograph taken at Crooked Mile Road.,WCMA-Prendergast,1944.0
A.1.438,2013-07-01,Eugénie Prendergast,,photograph,black and white photograph of Eugenie Prendergast outside of Crooked Mile Road home.,WCMA-Prendergast,1944.0
A.1.439,2013-07-01,Charles Prendergast,,photograph,black and white photograph of Charles Prendergast outside of home on Crooked Mile Road.,WCMA-Prendergast,1944.0
A.1.440,2013-07-01,Charles Prendergast with cat,,photograph,black and white photograph of Charles Prendergast and cat seated on porch of house on Crooked Mile Road.,WCMA-Prendergast,1944.0
A.1.441,2013-07-01,Charles Prendergast,,photograph,black and white photograph,WCMA-Prendergast,1905.5
A.1.442,2013-07-01,Charles Prendergast,,photograph,black and white photograph of Charles Prendergast seated on porch.,WCMA-Prendergast,1905.5
A.1.443,2013-07-01,Charles Prendergast,,photograph,black and white photograph,WCMA-Prendergast,1905.5
A.1.444,2013-07-01,Charles Prendergast,,photograph,black and white photograph,WCMA-Prendergast,1905.5
