medium,count
paper,5241
print,2038
wood,1230
photograph,1208
lithograph,1196
gelatin,1186
etching,1094
pencil,920
engraving,686
watercolor,591
canvas,551
poster,474
newsprint,399
screenprint,303
aquatint,292
drypoint,269
book,251
metal,248
clay,229
silkscreen,225
woodcut,223
ceramic,217
graphite,211
board,210
panel,192
glass,178
brass,174
gouache,166
crayon,155
charcoal,148
faience,145
terracotta,145
polaroid,142
stone,139
leather,137
woodblock,134
silk,132
frame,130
wash,127
polacolor,127
albumen,119
transfer,116
collage,110
inkjet,110
pigment,101
proof,97
tempera,86
acrylic,86
collotype,86
photogravure,86
