id,accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
1,39.1.400,1939-01-01,GRANDE MATINÉE DE BIENFAISANCE EN L'HONNEUR DES POILUS DES RÉGIONS ENVAHIES,Adrien Barrère,poster,,WCMA-PRINTS,1917.0
2,79.22,1979-01-01,Men of Europe,Ronald B. Kitaj,color screenprint on paper,,WCMA-PRINTS,1972.0
3,76.37.5.K,1976-01-01,Single-coil Bracelet,Macedonia,bronze,,WCMA-ANCIENT,-500.0
4,64.29.2,1964-01-01,"The First Cornet, Streshnev",Grigory Borisov and Nikolaj Prusakov,poster,"This is a poster for a war film set in the Caucasus Mountains during World War I. Most Soviet war films from this time were designed to show how the hero's class consciousness as a proletarian was developed. The poster itself draws on elements of avant-garde art movements by fusing images of the film's characters with machines, utilizing photomontage, and how it is drawn in strong angular lines.",WCMA-PRINTS,1928.0
5,81.12.1.E,1981-01-01,"Untitled (from ""Dogs"")",Dieter Roth,color print,,WCMA-PRINTS,1979.0
6,69.44,1969-01-01,Urban Renewal,Lois Novacek,pastel on paper,,WCMA-DRAWING,1969.0
10,84.26.118,1984-01-01,Page from sketchpad,Rube Goldberg,pencil on paper,,WCMA-DRAWING,1926.5
11,77.52.3,1977-01-01,"Midnight + Noon III (from the portfolio ""Midnight and Noon"")",Josef Albers,lithograph on paper,,WCMA-PRINTS,1964.0
12,77.52.6,1977-01-01,"Midnight + Noon VI (from the portfolio ""Midnight and Noon"")",Josef Albers,color lithograph on paper,,WCMA-PRINTS,1964.0
14,39.1.370,1939-01-01,Un Pueblo Una Patria!,Toni,poster,,WCMA-PRINTS,1932.5
15,75.4,1975-01-01,Portrait of Pink Horwitt,Edna Reindel,oil on canvas,,WCMA-PAINTING,1932.0
18,60.13,1960-01-01,"Madonna of Humility, with Angels",Giovanni di Nicola da Pisa,tempera on panel,gold ground,WCMA-PAINTING,1349.5
19,92.17.42.F,1992-01-01,"Old Pier and Fish houses, Magnolia, Mass",George Wainwright Harvey,etching on paper,,WCMA-PRINTS,1928.0
20,81.19.F,1981-01-01,"Untitled (from ""Song of Songs Which is Solomon's"")",Michael Rothenstein,color silkscreen,,WCMA-DEC ARTS,1979.0
21,81.19,1981-01-01,"The Song of Songs (with text from ""Song of Solomon"")",Michael Rothenstein,book of silkscreens,boxed book with text,WCMA-DEC ARTS,1979.0
22,81.19.D,1981-01-01,"Untitled (from ""Song of Songs Which is Solomon's"")",Michael Rothenstein,color silkscreen,,WCMA-DEC ARTS,1979.0
24,96.30.10,1996-12-23,Surf I,Robbert Flick,silver print,,WCMA-PHOTO,1983.0
27,99.16.24,1999-12-27,Victims,Paul Landacre,linoleum cut on paper,wood engraving inscribed on verso of print,WCMA-PRINTS,1938.0
29,83.19.A,1983-01-01,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,aquatint and etching,,WCMA-PRINTS,1983.0
30,83.19,1983-01-01,TOD: Cage without bars,Julian Schnabel,prints,,WCMA-PRINTS,1983.0
31,83.19.B,1983-01-01,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,aquatint and etching,,WCMA-PRINTS,1983.0
32,83.19.C,1983-01-01,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,aquatint and etching,,WCMA-PRINTS,1983.0
33,83.19.E,1983-01-01,"Untitled (from ""TOD: Cage without bars"")",Julian Schnabel,aquatint and etching on paper,,WCMA-PRINTS,1983.0
35,81.12.1.F,1981-01-01,"Untitled (from ""Dogs"")",Dieter Roth,color print,,WCMA-PRINTS,1979.0
36,79.53.B,1979-01-01,"Safeguarding of Life (from ""Struggle in the West: The Bombing of London"")",Ronald B. Kitaj,color screenprint on paper,,WCMA-PRINTS,1968.0
37,81.46.7,1981-01-01,Embossed Linear Construction 1-D,Josef Albers,embossed print,,WCMA-PRINTS,1969.0
38,82.21.6.D,1982-01-01,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,color silkscreen on paper,,WCMA-PRINTS,1957.5
39,82.21.6.I,1982-01-01,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,color silkscreen on paper,,WCMA-PRINTS,1957.5
40,77.53.29,1977-01-01,Untitled (D. XVIII),Richard Howard Hunt,screenprint on paper,,WCMA-PRINTS,1974.0
41,80.25.3.C,1980-01-01,"Untitled (from ""The Domestic Life of the Rainbow"")",Patrick Hughes,color silkscreen on paper,,WCMA-PRINTS,1979.0
42,80.25.3.H,1980-01-01,"Untitled (from ""The Domestic Life of the Rainbow"")",Patrick Hughes,color silkscreen on paper,,WCMA-PRINTS,1979.0
44,72.42,1972-01-01,Church,Thomas Frank Akawie,acrylic polymer on panel,,WCMA-PAINTING,1968.0
45,79.23,1979-01-01,Silver Grotto / Yellow Grotto,Bruce Nauman,screenprint on paper,,WCMA-PRINTS,1975.0
46,RC.36.9,1994-12-19,Falcon,Paul Dreher,"agate, jasper, aquamarine",,WCMA Reserve Collection,1982.0
49,81.1.13,1981-01-01,Lonnie's Moods,Neil Rappaport,photographs mounted as a pair,,WCMA-PHOTO,1961.5
51,81.31.84,1981-01-01,Three Men,Edmund Blampied,pen and ink on paper,,WCMA-DRAWING,1921.0
53,57.3,1957-01-01,Memorial Day,Allen Tucker,oil on canvas,,WCMA-PAINTING,1930.0
56,81.46.6,1981-01-01,Embossed Linear Construction 1-C,Josef Albers,embossed print,,WCMA-PRINTS,1969.0
57,81.46.10,1981-01-01,Embossed Linear Construction 2-C,Josef Albers,embossed print,,WCMA-PRINTS,1969.0
59,82.21.6.O,1982-01-01,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,color silkscreen on paper,,WCMA-PRINTS,1957.5
60,82.21.6.F,1982-01-01,"Untitled (from ""The Gates to Times Square"")",CHRYSSA,color silkscreen on paper,,WCMA-PRINTS,1957.5
61,81.12.1.M,1981-01-01,"Untitled (from ""Dogs"")",Dieter Roth,color print,,WCMA-PRINTS,1979.0
63,77.42.1,1977-01-01,"Construction Detail, South Wall, United American Van and Storage, 2841 Alton Irvine (from ""New Industrial Parks"")",Lewis Baltz,gelatin silver print,,WCMA-PHOTO,1974.0
65,EL.83.13.13,,Flash Unit with leather case,Agfa-Ansco,"leather, metal and glass",,WCMA-PHOTO,0.0
66,77.52.1,1977-01-01,"Midnight + Noon I (from the portfolio ""Midnight and Noon"")",Josef Albers,lithograph on paper,,WCMA-PRINTS,1964.0
67,77.52.8,1977-01-01,"Midnight + Noon VIII (from the porfolio ""Midnight and Noon"")",Josef Albers,color lithograph on paper,,WCMA-PRINTS,1964.0
69,99.10.L,1999-06-11,"soul (from ""Word"")",Lesley Dill,lithograph on paper | collage | string,collage with string element,WCMA-PRINTS,1994.0
70,48.3,1948-01-01,Virgin(?) with Three Apostles(?) Praying,French,"pot metal glass, white with silver stain and sanguine",,WCMA-DEC ARTS,1537.5
71,88.6.34,1988-01-01,"Horse brass,Dome in Scalloped Circle",British,brass,,WCMA-DEC ARTS,1875.0
72,61.8,1961-01-01,River Scene,Charles François Daubigny,oil on canvas,,WCMA-PAINTING,1867.5
73,82.21.3.A,1982-01-01,Still Space Nightlight Milkyway Center by Earth Hour,Charles Ross,color silkscreen on paper,,WCMA-PRINTS,1980.0
74,82.21.3.C,1982-01-01,Star Space Daylight Milkyway Center by Earth Hour,Charles Ross,color silkscreen on paper,,WCMA-PRINTS,1980.0
