93.1.48,1993-01-01,Intaglio with standing figure,Anonymous,glass?,"translucent, yellow",WCMA-ANCIENT,0.0
RC.22.12,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
84.32.11,1984-01-01,Cloth with leaf design,Anonymous (Turkish),silk,,WCMA-EASTERN,0.0
56.16.4.B,1956-01-01,"Cart decoration, ""Holy Family""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
RC.15.1,1992-01-01,"Lawrence Hall, interior",Anonymous (American),photograph,copy of historical photo,WCMA Reserve Collection,0.0
92.5.11,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
92.5.9,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
56.16.4.A,1956-01-01,"Cart decoration, ""St. George, Equestrian""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
56.16.28.A,1956-01-01,Pitcher with two handles,Anonymous,brass,,WCMA-DEC ARTS,0.0
56.16.4.C,1956-01-01,"Cart decoration, ""Virgin in Glory with Two Cherubs""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
RC.22.47,1994-01-01,Incised blade,Anonymous,iron?,,WCMA Reserve Collection,0.0
93.1.77.C,1993-01-01,Bowl,Syrian?,baked clay,"Possibly an offering bowl. Rough form, possibly a mistake from a pottery studio.",WCMA-ANCIENT,0.0
92.5.10,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
94.1.11,1994-01-01,Portrait of a man,Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
93.1.147.B,1993-01-01,Pin closure (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
94.1.33,1994-01-01,Bag,Anonymous,cotton? | silk,cotton? with blue silk lining,WCMA-DEC ARTS,0.0
92.5.12,1992-01-01,Untitled plate from a set of prints of architectural ornament,Anonymous,engraving and mezzotint,,WCMA-PRINTS,0.0
93.1.34,1993-01-01,Seal with bird impression,Anonymous,cork and wax,red/orange wax,WCMA-ANCIENT,0.0
